x	y	z	point	dist	E_ori	E_modif	E_delta	radius
22.141	-13.520	2.495	258702	0.171	133.206	132.226	-0.980	1.200
19.891	-12.020	1.745	248898	0.157	-0.760	-1.743	-0.983	1.200
