x	y	z	point	dist	E_ori	E_modif	E_delta	radius
37.066	7.717	123.082	162916	0.140	-0.758	-2.238	-1.480	1.200
37.066	9.217	120.832	132954	0.242	-1.191	-2.631	-1.440	1.200
