x	y	z	point	dist	E_ori	E_modif	E_delta	radius
19.882	-20.110	-2.206	137981	0.226	-1.204	-2.169	-0.965	1.200
20.632	-17.860	-0.331	163614	0.270	0.785	-0.166	-0.951	1.200
