x	y	z	point	dist	E_ori	E_modif	E_delta	radius
19.882	-20.110	-2.206	137981	0.226	-0.901	-1.866	-0.965	1.200
20.632	-17.860	-0.331	163614	0.270	1.084	0.133	-0.951	1.200
