x	y	z	point	dist	E_ori	E_modif	E_delta	radius
20.641	-10.145	-1.255	208927	0.218	0.000	-0.249	-0.249	3.000
21.391	-8.270	-4.630	163915	0.196	0.000	-0.249	-0.249	3.000
